Pergunta,Tema,opção A,opção B,opção C,opção D,Resposta correta,Explicação
You are part of a project team designing a new type of a vehicle. You are about to begin work on a work package for the braking system of the vehicle and want to review the acceptance criteria before starting the work.  Where can you find this information?,Scope Management, Project management plan , Activity attributes , Requirements documentation , The WBS dictionary ,D,"A work package is the lowest level of the WBS and provides a general description of the work to be completed by this work package. The WBS dictionary supplements the WBS by including more detailed information for each work package or other WBS components. The WBS dictionary is an output of the Create WBS process and provides information such as the description of work, schedule milestones, quality requirements, and acceptance criteria for each work package. Therefore, the acceptance criteria for the work package to be completed are described in the WBS dictionary.  Note, the wording of the question, ""You are about to begin work on a work package..."", suggests that project execution has already begun, thus implying the project management plan including all its components (such as the scope baseline that includes the WBS dictionary) has been finalized and approved."
"A project to construct an assembly line is nearly complete. The project manager closes procurements, shares the final project report, updates the lessons learned repository, and obtains feedback from the relevant stakeholders.  What should the project manager do next?",Integration Management, Provide final payment to the suppliers , Send a summary of how the final product achieved the business needs, Transfer the completed assembly line to operations , Send formal written notice to the vendors that the contracts have been completed ,C,"The question implies that the Close Project or Phase process is underway. Actions and activities necessary to transfer the project's products, services, or results to the next phase or production and/or operations is one aspect of project closure. Correctly answering this question is an exercise in the process of elimination. The incorrect answer choices represent activities that have already been completed by the project manager in this scenario. Among the available choices, only transferring the completed assembly line to operations represents a closing activity which has yet to be completed, making it the best response to the question asked."
"A project team is mulling over two risk responses for inclusion in the risk register. The first risk response has two criteria that must be met and costs $5,000. The second risk response has four criteria that must be met, but only costs $2,000.  What action is the project team least likely to take in selecting the best risk response?",Risk Management,Running a Monte Carlo simulation, Running a Monte Carlo simulation Performing an alternatives analysis , Conducting a cost-benefit analysis , Using multicriteria decision analysis ,A,"In this scenario, the project team is deciding between two different risk responses for inclusion in the risk register, which suggests that the project team is currently performing the Plan Risk Responses process. Alternatives analysis, cost-benefit analysis, and multicriteria decision analysis are all techniques which are commonly used during the Plan Risk Responses process to select risk responses. Note, the question is asking for the action that the project team is 'least' likely to take in selecting the risk response. A Monte Carlo simulation is a data analysis technique where a computer model is iterated many times, with the input values chosen at random for each iteration driven by the input data, including probability distributions and probabilistic branches. Outputs are generated to represent the range of possible outcomes for the project. However, in this case, there are only two options under consideration which can serve as inputs for the simulation. Thus, a Monte Carlo simulation would only be able to perform two unique iterations rather than the many iterations required to produce a probability distribution. Using a Monte Carlo simulation is not appropriate when only a small, finite number of options are under consideration. Since there are only two options under consideration, in this case, a Monte Carlo simulation is not the appropriate tool for the project team to use in selecting the best risk response."
"To acquire resources for the project, the project manager consults the resource management plan. The plan calls for the scrum master to be assigned to the team. However, the only individual in the company qualified to serve as a scrum master has already started working on another project, and her functional manager does not cooperate on a potential resolution.  How could this situation have been prevented?",Resource Management, The project manager should have checked the project's resource calendars for the availability of the scrum master. ,The project sponsor should have directed the project manager to serve as both the project manager and the scrum master., The scrum master should have refused to work on the other project knowing that she is the only qualified resource in the company. , The availability of the scrum master should have been negotiated between the functional manager and the project manager during project initiation. ,D,"The question implies that the project manager is carrying out the Acquire Resources process. In situations where a key resource is required for the success of the project, that resource can be-preassigned to the project in the project charter or during initial project planning. In the scenario, the scrum master was assigned to a different project, and the functional leader is refusing to find a suitable resolution. Had the project manager negotiated with the foundational manager for the resource ahead of time, the resource might have still been available. Note that it might be a little unusual for a project to have a project manager and a scrum master, but it might be necessary for a complex project that will utilize a hybrid project framework."
Your project team members are writing software code together as a pair and reviewing each other's work to determine if the code conforms to the requirements documentation.  Which of the following will be a result of these reviews?,Quality Management, Accepted deliverable , Acceptance criteria , Work performance data , Verified deliverable ,D,"Writing software code together as a pair and reviewing each other's work is known as pair programming. This practice is often used on agile projects. As far as traditional project management is concerned, the scenario suggests the team is in the Control Quality process and is using the tool of inspection, such as peer reviews, to determine if the software conforms to documented standards. The goal of the Control Quality process and the inspection is to verify the correctness of deliverables thereby producing the output of verified deliverables. The verified deliverables then become an input to the Validate Scope process to determine if the deliverables meet the acceptance criteria for formal acceptance by the customer or sponsor. Formal acceptance of the verified deliverables produces an output from the Validate Scope process called accepted deliverables. Since the team is conducting a code review to determine the correctness of the software, the result of their efforts will be a verified deliverable."
"As part of the Direct and Manage Project Work process, the project manager conducts an iteration planning meeting. The meeting is dominated by the most senior developer who frequently and sharply interrupts the other team members. The project manager wants to ensure that during the next iteration planning meeting all voices are heard.  What is the project manager's best course of action?",Resource Management," Discuss the issue with the senior developer, and for the next meeting allocate equal amounts of time for each team member to speak ", Inform the senior developer's functional manager about this unacceptable behavior and request that the manager take disciplinary action , Post a copy of the team's social contract in the meeting room and review the contents at the start of the next iteration planning meeting , Invite the sponsor to the next iteration planning meeting to have the senior developer be more thoughtful in the presence of the sponsor ,C,"The scenario describes a situation where one project team member is dominating a meeting, and not all voices are being heard. The team charter should include meeting guidelines, including such things as not interrupting and allowing all project team members to have a voice. In this case, the senior developer may not even realize the disruption that he/she is creating and the impact on the other project team members. One way of addressing the issue would be to remind the project team members about their commitments by posting a copy of the team charter and reviewing it before the meeting. The incorrect answer choices represent actions that are either an overreaction or would not likely be effective in addressing the issue.  It should be noted that there are many ways of addressing the issue described in the question. The project manager probably should have been more proactive during the meeting to ensure that all voices are heard. Alternatively, the project manager might have spoken to the senior developer in private about his behavior to address the issue. Regardless, of the available options, posting the team charter, and reviewing the contents before the iteration planning meeting is the 'best' answer."
"The scrum master, business analyst, programmers, and testers have been assigned to a product development project. The performing organization is well-versed with the traditional waterfall framework but will incorporate scrum for the software development phase of the project.  What is the best strategy to ensure that all of the scrum roles and responsibilities are served in the project?",Scope Management, Remove the business analyst from the software development phase since that role is only associated with waterfall project management, Mentor the business analyst to serve in the role of the product owner during the software development phase since those roles are closely aligned,Request that one of the programmers serve as the voice-of-the-customer for the purposes of prioritizing the items in the product backlog, Ask the most experienced tester to approve or reject the deliverables during the sprint review as testers are typically most familiar with the product ,B,"The roles typically associated with scrum include the scrum master, development team, and product owner. In this scenario, the product owner is the role that is vacant. Although the business analyst is a role that is typically associated with waterfall projects, the business analyst can also provide support to the team leader and product owner in an agile environment. The business analyst typically works with the customer to determine and refine project requirements and develop the requirements documentation. When agile methodologies are employed, the business analyst may also assist with the development and refinement of the product backlog. With scrum, the product owner is responsible for managing the product backlog and ensuring that it is prioritized according to business value. In this case, the business analyst will likely have much of the necessary skill set to serve as the product owner but will be lacking in knowledge and experience with agile. Thus, the scrum master should mentor the business analyst to close any agile knowledge gaps and ensure that all of the duties related to a product owner are fulfilled."
The construction project has many people and specialized teams at the worksite every day. Frequent communication between the team leads is critical for safety and efficiency.  Which agile ceremony can this project incorporate to increase timely cross-functional communication?,Communications Management, Iteration reviews , Risk-based spikes , Retrospectives Daily standups , Retrospectives Daily standups ,D,"When traditional, plan-driven projects take on or use agile tools and techniques, the overall project management approach is considered hybrid. The scenario provides an example of such a project. Certain agile ceremonies can be incorporated into traditional projects to help the project manager and team in various ways. In the situation described in the question, the project demands more frequent communication and alignment between the various stakeholders working on the construction site every day. This communication is essential to ensure there is a coordination of daily activities and a seamless flow of information. Daily standups are short time-boxed meetings attended by the team and relevant stakeholders. The team members report of work completed since the last daily standup, work to be done today, and any impediments to progress. This daily communication and coordination of activities may help the project manager, team, and other individuals and groups working on the construction site maintain safety and efficiency, as requested by the question."
"At times over a project life cycle, the team must adopt a few agile ceremonies. The aim is to communicate quicker in times of tight deadlines. Unfortunately, team members are not getting the information needed during the ceremonies.  What is the best option to confirm that the information is received and understood?",Communications Management, Validate with the team that the information was captured and facilitate feedback discussions , Spread out the ceremonies over months between each event to ensure comprehension , Mandate that all project team members update the information radiators after each ceremony , Reduce the number of project team members that attend the ceremonies ,A,"Hybrid projects take the best options from the various project management approaches available. For example, the scenario describes a traditional project, in which the team is requested to adopt agile ceremonies to speed up communication cycles during tight deadlines. Occasionally, especially as teams are first learning the methods, there may be gaps in communication and action. Project managers can assist in improving the effectiveness of agile ceremonies by validating with all the participants that the information shared with them was received and understood. Confirming that the ceremony is meeting its objectives and facilitating the necessary feedback loops supports the purpose. Those feedback actions may be gradually lessened as the ceremonies are internalized by the team and relevant stakeholders."
A project manager is wrapping up the hardware development phase of a product development project. The project will now transition to the software development phase.  How might the project manager's role change with respect to integration management?,Integration Management, Act as a servant leader by determining the relative size of the story points of the items in the product backlog , Delegate the control of the detailed project work planning and product delivery to the project team members , Ensure that the project team members each have specific tasks assigned to them and recorded in a Gantt chart , Strengthen the change management controls to ensure that scoop creep is minimized or entirely eliminated ,B,"The question indicates that a hybrid project is moving from a predictive phase to an agile phase. A project manager's role will change along with the change in the project management approach. The project manager's role with a predictive phase is typically more directive and controlling, whereas agile leadership requires servant leadership. Agile teams are considered self-organizing, such that the project manager would assign work to the project team, and the team would then collaborate to achieve the project goals. Thus, detailed product planning and delivery will be delegated to the project team. The incorrect answer choices represent actions that would be considered anti-patterns for agile methodologies."
"You are conducting a sprint retrospective in accordance with the communications management plan. The development team members want to try pair programming as they believe it will improve productivity by reducing rework. Even though you are very skeptical, you agree to implement the practice as you want to empower the team to be a self-managing unit.  What should you do next?",Resource Management,"During the upcoming sprint, measure velocity and, if it decreases, discontinue pair programming and reprimand the team members", Invite the project sponsor and other key stakeholders to demonstrate the increased collaboration between the project team members , Submit a change request to update the communications management plan with the new agile practice of pair programming ," At the end of the upcoming sprint, revise the burndown chart, evaluate the productivity, and update the lessons learned register ",D,"The scenario describes a situation where the development team wants to try pair programming as a strategy to improve productivity. Even though you, as the project manager, are skeptical that the approach will be effective, you should still support the project team with their efforts to improve productivity. After all, the purpose of a sprint retrospective is for the project team to inspect and adapt their practices in order to improve performance. Additionally, the team members are the experts with the development work and are in a better position to determine how they can best work together compared to a project manager. After the practice has been implemented, it will be incumbent on the project manager to verify any performance improvements and bring that information to the project team during the next sprint retrospective so the team can further reflect and adjust. A burndown chart will capture the team's velocity and allow a before and after comparison to determine whether or not pair programming was successful in improving productivity. Any knowledge gained should then be captured in the lessons learned register.  Note, the scenario implies the project is managed using hybrid methods. Therefore, incorporating pair programming may or may not require an approved change request. This would depend on how explicit the project management plan is in this case."
A project manager is leading a daily standup meeting with a scrum team as part of the Direct and Manage Project Work process. A developer raises an impediment stating that he is struggling with the software code necessary to authenticate users on the sign-in page. The developer indicates that the impediment could result in a schedule delay to the current sprint.  What is the project manager's best course of action?,Integration Management,Write the software code for the developer since it is the project manager's responsibility to remove impediments, Submit a change request to update the schedule baseline to reflect the delay caused by the impediment , Move the user authentication feature back into the project backlog and ask the product owner to reprioritize it , Recommend that the scrum team members use swarming as a technique to clear the impediment ,D,"The scenario describes a hybrid project that incorporates agile practices into a predictive project management framework. A developer raises an impediment during a daily standup meeting. Even though this issue represents a blocker for a particular developer and may result in a schedule delay, it might not be an impediment for the entire project team. Agile teams emphasize the use of generalizing specialists. Thus, it is possible that other team members might be able to assist in resolving this issue. The project team is responsible for producing the deliverables, collaborating on achieving the project's objectives. Swarming is a technique that is typically used when agile practices are incorporated into a project. With this technique, multiple team members focus collectively on resolving a specific impediment.  Note, when all of the team members leave their current tasks to help one developer, it is reasonable to assume that their tasks may also be delayed. While this assumption makes the correct answer arguable, of the choices provided, suggesting swarming is the project manager's best course of action."
"Collecting requirements for the project and creating the WBS has been a daunting task because stakeholders' needs are vague and are only expressed in the most general terms due to the nature of the project. As a result of this uncertainty, the project manager is concerned about excessive changes, wasted work, and rework anticipated during project execution.  What is the project manager's best course of action?",Scope Management,Scope Management, Request that the project team use an iterative and incremental approach to product development with short feedback loops , Implement a robust change control system to only allow for the most important changes to be incorporated into the product , Generate an activity list from what is currently known and use the Kanban board to break the activities down to their tasks ,B,"The scenario describes a situation where, due to the nature of the project, the requirements are not clearly understood and can only be expressed at a high level. This situation presents an obstacle to collecting project requirements and creating a fully decomposed work breakdown structure (WBS) as part of initial project planning. Projects with a high level of uncertainty in requirements benefit from iterative and incremental approaches that allow the project scope to evolve over the course of the project. Demonstrating smaller increments of the product to the relevant stakeholders allows for short feedback loops to keep the evolving product or result of the project in alignment with stakeholder needs and expectations. For example, the project team might use prototypes to gain early feedback on the requirements. All of the incorrect answer choices represent strategies that would be unrealistic for a project with a high degree of uncertainty in the project requirements. Note that incorporating an agile lifecycle within a project management plan would make this a hybrid project."
A project manager is implementing the requirements management plan for a software upgrade project that will incorporate some agile elements. The project manager needs to quickly define cross-functional requirements and reconcile stakeholder differences to build a consensus among the relevant stakeholders.  What is the project manager's best course of action?,Scope Management, Create a questionnaire and send it out to all of the stakeholders to determine the project requirements , Conduct an in-person interview with each of the relevant stakeholders to determine their needs , Facilitate a requirements workshop with all of the relevant stakeholders to develop user stories , Perform a job shadowing exercise with the intended end-users of the existing software,C,"The question implies that the project manager is carrying out the Collect Requirements process for a hybrid project. Workshops can be used to quickly define cross-functional requirements and reconcile stakeholder differences. The interactive nature of a workshop can be effective in helping the project manager build a consensus among the stakeholders. When agile methodologies are being incorporated into a project, a requirements gathering workshop may take the form of a story-writing workshop, where required functionality is captured in the form of a user story. Of the available choices, only a requirements workshop would meet the project manager's criteria for being able to 'quickly' gather feedback, and have the interactivity necessary to reconcile stakeholder differences and help build a consensus."
"The organization�s leadership wants projects to include more agile methodologies.  Before mandating any agile methods to be used in a project, what should be done first?",Integration Management, Pause current projects to align them to the new agile cadence , Ask employees to vote on who wants to take part in agile projects , Assess organizational culture and readiness for the transformation , Provide agile training to those who will be part of the pilot project team ,C,"Organizations seeking to blend a traditional plan-driven project management approach with certain agile methodologies should first assess their organizational culture and readiness to undertake such an initiative. Evolving the organization from carrying out its projects using one project management approach to another takes time and is recommended to undertake gradually and incrementally. In the scenario, senior leadership within the organization is promoting the inclusion of more agile practices into the current project methodologies. Such an organizational change to hybrid modalities may or may not be difficult. To know the extent of the difficulty an organization may endure, assessments of the organization�s readiness for learning, adapting, and applying new methods must be done first."
You are establishing the relative priorities of individual risks identified in the project.  Which of the following tasks is the least likely to impact this prioritization?,Risk Management, Reviewing the assumption log ,Examining the risk register, Researching the stakeholder register , Creating the risk report ,D,"Establishing the relative priorities of individual project risks, an activity described in the scenario, is done as part of the Perform Qualitative Risk Analysis process. This process prioritizes the risks for further analysis or action by assessing their probability of occurrence and impact as well as other characteristics. The assumption log, risk register, and stakeholder register are all project documents which may serve as inputs into the Perform Qualitative Risk Analysis process. Note, the question is asking for the 'least' likely activity to be performed as part of this process. The risk report is a project document that provides information on sources of overall project risk as well as the summary information on individual project risks and is created as an output from the Identify Risks process, rather than being used as an input to the Perform Qualitative Risk Analysis process, making the risk report the best answer to the question asked."
Team members are frequently changing during the long timeline of a multi-phase project. The project manager is questioning whether to include agile practices to accommodate the changes.  What should the project manager do prior to moving to a hybrid approach?,Integration Management, Ensure project finances are secured for the next project phase ," Reduce the team size to nine people, plus or minus two ", Target a smaller project as a proof of concept to test the feasibility , Evaluate the benefits of incorporating agile practices ,D,"Shifting the management of a project to a hybrid approach is a decision that identifies and evaluates the potential benefits and value, along with any impediments, detriments, and consequences. Weighing the pros and cons of a hybrid approach enables the project manager to understand and appreciate the reason for the new approach. This evaluation also ensures other stakeholders beyond the project team members are on board with the decision and its rationale. "
"Midway into project execution, new cybersecurity laws take an immediate effect and require audits of the system. The project has a well thought out project management plan. The audits may come at any time throughout the system?s development.  What is the best way for the project manager and team to address the risk of audits disrupting the project plans?",Schedule Management, Handle the audits as an unplanned spike , Reschedule the audits to the end of the project , Request that the sponsor removes the audits , Inform stakeholders that the project will miss its objectives ,A,"Plan-driven managed projects can utilize some of the tools and techniques from agile methodology to support their project management. Incorporating agile methods with traditional plan-driven methods would make the overall project management approach hybrid. In the scenario described, the project team could use the agile technique of a spike. A spike is a short timeboxed effort established to address a risk, explore possible solutions, answer a question, or gather information, to name but a few common examples. While this may sound counter-intuitive, of the choices provided, addressing the audit as a spike is the best answer to the question asked."
A plan-driven project has many deliverables planned to be released at the end of the phase. The project manager wants to ensure that the deliverables are completed as expected.  Which agile practices can the project manager recommend to the team to make certain that the deliverables are completed and delivered as expected?,Integration Management,Definition of ready and iteration reviews, User stories and confidence votes , Definition of done and demonstrations , Backlog refinement and retrospectives ,C,"To properly close a project phase or project, appropriate stakeholders sign off that work has been delivered. Techniques in agile project management methodologies such as ""definition of done"" and ""demonstrations"" can also be applied in a plan-driven project. This approach helps ensure that stakeholders agree at the start of the project that the work is not only completed, but a shared understanding of done and the criteria to accept the work are exactly defined. Demonstrations serve as checkpoints throughout the project to demonstrate product increments to the relevant stakeholders, get feedback, and adjust as needed. By utilizing those two agile practices, project teams can better determine whether or not the project or phase can be successfully closed. "
"A project manager facilitates a discussion with the team about experimenting with some agile practices in their plan-driven project. A suggestion of incorporating daily standups is on the table. The team members, however, are unsure of what is expected of them.  What can the project manager suggest the project team members do prior to the daily standup?",Resource Management, Make sure their work progress is reflected in the burndown chart , Submit the necessary progress reports to the product owner , Estimate work items that will be developed after the daily standup , Resolve any defects that have been found in the previous day ,A,"Burndown charts are powerful information radiators used to reflect the team?s progress towards their goals and objectives. In hybrid managed projects, like the one described in the scenario, the team members can use the burndown charts to track their progress. To provide an accurate picture of the team?s progress towards the iteration?s goal (assuming the work is done in iterations), the burndown chart should be updated regularly. Ideally, the burndown chart reflects the team?s daily progress towards their commitments. Updating their progress prior to the daily standup meetings enables the team to collectively see their progress and inform their decisions as to what needs their attention and what to work on next. Whether using software tools to automatically update the burndown chart or manually updating the burndown chart, the responsibility within the team is for all to update in a timely fashion. "
"The project team is undergoing an agile transformation. This requires the team members to maintain their original project plans in the current management tool, but also enter performance data in the new tool built around agile practices. The team identifies that the information in the two tools is out of sync. This risk has been identified earlier in project planning.  What is the best course of action for the project manager?",Risk Management, Accept the risk since agile values individuals and interactions over processes and tools , Recognize that the risk has now become an issue and implement the planned response , Conduct a probability and impact assessment to determine a risk score ,Communicate to the project sponsor that work may be delayed due to clerical errors,B,"Uncertainty is part of every project. In this situation, the team had identified that there is a risk of information not being properly maintained in the duplicate software systems. The identified risk was added to the project?s risk register, as implied from the scenario. Once the risk is realized, the risk becomes an issue. As an issue, the project team applies the risk response, if one was planned, or addresses the issue as part of the appropriate issue management process established for the project. In the scenario described, the team can take action to reconcile the differences in data integrity from the two project management information systems (PMIS). Once rectified and the resolution accepted, the issue and the risk can be marked as resolved."
"Projects in a program are using various project management approaches, such as plan-driven, agile, hybrid. The project teams are complaining that because of that, the team members must enter the same work, hours, risks, and other data in multiple tools. The redundant work is impeding on their productivity time.  What is the best course of action for the program manager?",Integration Management, Direct the teams to continue entering the data in the various systems , Determine what tools and data provide the appropriate oversight , Switch all projects in the program to the agile project management approach , Pause all data entry until a valuable solution can be determined ,B,"Data and metrics are very important to track, monitor, and control any project. This is true regardless of which project management approach is used. When teams and organizations shift from one approach to another or use various approaches for different projects with a program, it is common for multiple tools and software to be used. The intent of these tools is to assist the teams, stakeholders, and project organizations in managing their data and methodology. However, too many or divergent tools may cause more administration and maintenance. Therefore, project and program governance must determine which data is most relevant and worth the teams' time. The balance between collecting and communicating project data with the resource load to enter and upkeep the data can be difficult, but needed decision."
An organization is to undertake a multi-phased project. The sponsor wants to pursue the project objectives as they have been planned but also wants to accommodate and adjust to new information and changes in the environment as the project progresses.  Which project management approach should the project manager select for this project?,Integration Management, Waterfall , Agile , Hybrid , Phased ,C,"Determining the most appropriate methodology to manage a project can be difficult. Fortunately, project managers have plenty of tools in their toolbox. One option available to project managers is the ability to blend or utilize various aspects, approaches, and methods from various project management methodologies. This is referred to as a hybrid approach. In the scenario described, going forward with the upfront-developed plans and be agile to incoming data and changing environmental conditions is ripe for a hybrid approach."
"Senior leadership has returned from a conference where they have learned about the agile practice of retrospectives. Even though the organization does not manage any projects in an agile manner, they mandate that from now on this ceremony is included in all projects.  How should the outputs from the retrospectives be stored and managed?",Integration Management, Senior leadership determines the location of the outputs and who may access the contents , The project team stores the outputs in a location that the project manager can control and limit changes , The project team determines a location that is accessible for relevant stakeholders to view and track , The project manager establishes the location and allows the customer to view and make recommendations ,C,Retrospectives are useful ceremonies ? whether in an agile project or a hybrid project such as the one(s) described in the scenario. Retrospectives can be conducted at a regular cadence throughout a project (regardless of whether the deliverables are produced using iterations or not) to gather lessons learned and identify ways for the project team to adapt and improve. The aims of retrospectives are to find ways for the team to acknowledge what they are doing well and improve where they can. The outputs generated from the findings are meant mainly for the project team to reflect on and take necessary actions. Visibility and easy accessibility is key to ensuring that the outputs are not discarded or forgotten but actioned upon.
"The resource management plan for an international project calls for a scrum team to be colocated during the regular workweek. However, after five sprints were completed, the project manager got a change request approved to cut costs by transitioning the team to a virtual environment working remotely from their homes with the start of the sixth sprint.  After the team begins working remotely, what will be the best method to understand the impact of the change on the team's productivity?",Resource Management, Check the product burndown chart to look for any changes to the trendline, Calculate the CPI at the end of each sprint to determine the change in the team's productivity , Review the product burnup chart to compare velocity before and after the change , Update the project schedule network diagram to reflect the changes in the team's environment ,C,"The scenario describes a hybrid project where a change in the project team environment might have an impact on the productivity of the team. Burn charts are one way of visualizing the project's performance over time. Depending on the information that needs to be understood, different approaches can be used to build burn charts. Sprint burn charts typically show the story points completed by day over the course of a single iteration. Release burn charts document the work completed for each iteration over the course of a release. Finally, product burn charts typically display the story points completed for each iteration over the course of the entire project. Burndown charts record the work remaining (usually in the form of story points) over time. Burnup charts show the work completed by the project team over time. Burnup charts are better for understanding team productivity than burndown charts as they document the work completed by the project team. Burndown charts can provide a distorted view of team productivity as an increase/decrease in project scope will affect the trendline independent of the work actually accomplished. Therefore, of the available choices, the best way to understand the productivity impact of the change to the work environment is to review the product burnup chart."
"As part of the Plan Resource Management process, project team members hold a brainstorming session to charter working agreements. The team identifies 37 agreements that include communication guidelines, decision-making and conflict resolution processes, core hours, a definition of a story point, how and when user stories will move through the Kanban board, etc.  What should the project manager do next?",Resource Management, Submit a change request to revise the resource management plan to incorporate the team's working agreements , Verify that all of the project team members support the working agreements and document the agreements in the project charter , Review the team's working agreements at the start of every daily standup and during the sprint review meetings , Ask the project team members for their top five to ten agreements and document the information in the team charter ,D,"The question describes a project team that creates the team's working agreements as part of the Plan Resource Management process. The working agreements represent the team's social contract and should be documented in the form of a team charter. The team charter is an output of the Plan Resource Management process. One best practice for the team charter is to limit the working agreements to the top five to ten items. A comprehensive list of 37 agreements will likely be too cumbersome to be effective, and the really important agreements may get lost among less important items. Therefore, it would be appropriate to ask the project team for their top five to ten agreements and then capture them in the form of a team charter.  Note, the scenario presents a hybrid project in which elements of the traditional project management intertwine with agile practices. While such a combination may confuse, this information is not required to answer the question correctly. The information is provided as an example to demonstrate the various project management approaches."
"A project manager implements the project management plan meticulously but is struggling with leading the project team effectively. There is a great deal of unhealthy tension between the project team members as well as with the project manager. The project manager has had several outbursts during sprint retrospectives, which has caused the meeting to be abruptly adjourned.  What should the project manager do first?",Resource Management, Submit a change request to revise the project management plan to eliminate the requirement for retrospectives , Take a proactive step in improving his own emotional intelligence (EI) to become a more effective leader , Reduce the story size by splitting user stories and use relative estimation with the entire team to estimate , Lead a training session with the project team members to help them become emotionally competent ,C,"The scenario describes a hybrid project carried out according to the project management plan with the deliverables developed using sprints. The question implies that the project manager lacks emotional competence, as exemplified by his failure to control his emotions during the sprint retrospectives. The project manager must learn to control his own emotions and lead by example before he can expect emotional competence from the project team members. Taking action, such as investing in training to improve his emotional intelligence (EI), would be one positive step in addressing the leadership problem. Once the project manager has addressed his own lack of emotional competence, he can then work with the project team members to develop the team's EI. Improving EI will likely have a positive effect on the turnover rate as well."
A project is six months into its nine-month projected duration. The project manager reports that the project is at least three months behind schedule because certain key stakeholders were resistant to consequential changes due to the project.  What might have been done differently during project planning to avoid this situation?,Stakeholder Management, Better execution of the Manage Stakeholder Engagement process , Development of a stakeholder engagement assessment matrix , Creation of a comprehensive stakeholder register , Establishment of a more robust communications management plan ,B,"The scenario describes a situation where the resistance of certain key stakeholders has caused the project to run behind schedule and is asking what might have been done differently during project planning. Two of the answer choices represent activities, which are not associated with the Planning Process Group, and, as a result, those responses can be eliminated. Both of the remaining answer choices represent plausible actions that may have led to better stakeholder engagement. The actual PMP exam may present questions with more than one correct answer, and the PMP aspirant must select the 'best' answer among the potentially correct options. In this case, the development of the stakeholder engagement assessment matrix directly addresses the issue described by the question.  The stakeholder engagement assessment matrix is used as a tool during the Plan Stakeholder Engagement process and identifies key stakeholders along with their current and desired engagement level. Classifications for stakeholder engagement may include unaware, resistant, neutral, supportive, and leading. In this scenario, certain key stakeholders were resistant to the project, which caused the project to run behind schedule. A stakeholder engagement assessment matrix is the best tool for identifying resistant stakeholders with enough influence to undermine a project. In this case, identifying the current and desired engagement levels of the key stakeholders might have allowed the project manager to take action to address the undesirable engagement levels and prevent the stakeholder's resistance from negatively impact the project's performance. Therefore, among the available options, the development of a stakeholder engagement assessment matrix is the best answer to the question asked."
"Two team members are arguing over how to organize the work packages in the work breakdown structure (WBS). One says the work packages should be arranged in the order the work is planned to be carried out, while the other insists the order of the work packages in the WBS does not matter. The two ask the project manager for advice.  What is the project manager's best response?",Schedule Management, Work is decomposed and sequenced in the Define Activities process. , Any approach is good as long as the team members avoid the conflict. , The chronological order of tasks is defined in the Sequence Activities process. , The approach should be defined by the project management office (PMO). ,C,"To answer this question correctly, one should be able to distinguish a deliverable and work package from the schedule and activities. The planned work is contained within the lowest level of the components of the work breakdown structure (WBS). These components are called work packages. A work package can be used to group the activities where work is scheduled and estimated, monitored, and controlled. In the context of the WBS, work refers to work products or deliverables that are the result of activity and not to the activity itself. The work packages are further decomposed into schedule activities that are then sequenced to obtain the greatest efficiency given all the project's constraints. The Create WBS process provides a framework of 'what' has to be delivered but does not involve sequencing."
"You are leading a project to design a high-efficiency solar cell. The project needs copper, silver, and silicon among other materials. You have ordered custom-built manufacturing equipment, secured permission to install a solar array on the roof for testing, and reserved a conference room for daily stand-up meetings.  What is the result of your efforts?",Resource Management, Resource histogram , Resource management plan , Resource assignment matrix , Physical resource assignments ,D,"It can be inferred from the question that the process of acquiring resources is being performed. One of the outputs from the Acquire Resources process is physical resource assignments. Documentation of the physical resource assignments records the material, equipment, supplies, locations, and other physical resources that will be used during the project. Based on the description provided by the question, the physical resource assignments is what has been accomplished."
"During project execution, several unexpected issues have developed and are now threatening the project schedule and budget.  What is the best course of action for the project manager to address the issues?",Cost Management, Use contingency reserves , Review project funding requirements , Use management reserves , Review organizational process assets ,C,"The total project budget includes the cost baseline plus the management reserves. The cost baseline is comprised of the work package estimates and contingency reserves. The contingency reserves are allocated for identified risks. Management reserves are withheld for unforeseen risks that affect the project. According to the scenario, the issues developed during the project were unexpected. Therefore, of the choices provided, using the management reserves is the best course of action for the project manager.  Note, the scenario describes issues, while the explanation refers to risks. Prospective PMP aspirants should keep in mind that the questions on the real PMP exam may have such discrepancy in their wording."
"To produce the deliverables, the project will procure goods and services from outside the organization. The project manager has instructed the team to develop a comprehensive list of individual project risks related to those procurements.  What is the best course of action for the project team?",Risk Management, Consult the project charter , Review procurement documentation , Develop a procurement register , Check the probability and impact matrix ,B,"This question involves two Project Management Knowledge Areas: Project Risk Management and Project Procurement Management. Based on the scenario described, the project team is carrying out the Identify Risks process. Procurement documentation is an output from the Plan Procurement Management process and an input to the Identify Risks process. Procurement documentation may include bid documents, the procurement statement of work, payment information, contractor work performance information, plans, drawings, correspondence. Since procuring goods and services from outside the organization may increase or decrease overall project risk and may introduce additional individual project risks, reviewing procurement documentation is the best course of action for the project team."
